policy_name,hold_hours,asset_id,symbol,ts_utc,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,actual_direction,equity_curve,drawdown
rejected_htf_4h,4,28,ALGO,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,30,0.072258,0.072794,0.007417863765949719,0.002,0.005417863765949719,UP,1.2098677294175788,0.0
rejected_htf_4h,4,29,DOT,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,31,1.0878,1.0956,0.007170435741864135,0.002,0.005170435741864135,UP,1.2161232727686873,0.0
rejected_htf_4h,4,30,FET,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,32,0.20164,0.2043,0.013191827018448699,0.002,0.011191827018448699,UP,1.2297339140706243,0.0
rejected_htf_4h,4,32,ICP,2026-03-30 22:00:00,2026-03-30 22:00:00,2026-03-31 02:00:00,REJECTED_HTF,AVOID,0.0,34,1.9538,1.9762,0.011464837752072871,0.002,0.009464837752072871,UP,1.2413731460455244,0.0
rejected_htf_4h,4,19,CRV,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.008756,8,0.18711,0.19031,0.01710223932446159,0.002,0.015102239324461591,UP,1.2601206603880637,0.0
rejected_htf_4h,4,18,CC,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,23,0.1285,0.13023,0.013463035019455324,0.002,0.011463035019455324,UP,1.2745654676468312,0.0
rejected_htf_4h,4,21,HYPE,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,25,32.118,32.51,0.012204994084313964,0.002,0.010204994084313964,UP,1.287572400704238,0.0
rejected_htf_4h,4,23,LTC,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,26,46.384,46.766,0.008235598482235209,0.002,0.0062355984822352085,UP,1.2956011852118374,0.0
rejected_htf_4h,4,33,INJ,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,35,2.4949,2.5172,0.008938233997354599,0.002,0.0069382339973545985,UP,1.304590369402087,0.0
rejected_htf_4h,4,38,RENDER,2026-03-30 23:00:00,2026-03-30 23:00:00,2026-03-31 03:00:00,REJECTED_HTF,AVOID,0.0,38,1.4705,1.4913,0.01414484869092156,0.002,0.01214484869092156,UP,1.3204344220421087,0.0
rejected_htf_4h,4,20,FLOKI,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.040519,14,2.4025e-05,2.4148e-05,0.005119667013527519,0.002,0.003119667013527519,UP,1.32455373775208,0.0
rejected_htf_4h,4,7,HBAR,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.029306,15,0.075844,0.076355,0.006737513844206681,0.002,0.004737513844206681,UP,1.3308288294220763,0.0
rejected_htf_4h,4,26,WLD,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.008959,16,0.23892,0.2386,-0.0013393604553825003,0.002,-0.0033393604553825004,DOWN,1.3263847122562211,-0.003339360455382523
rejected_htf_4h,4,1,BTC,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,17,59041.0,58598.0,-0.007503260446130655,0.002,-0.009503260446130656,DOWN,1.313779732883884,-0.0128108860893823
rejected_htf_4h,4,3,SOL,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,18,71.644,71.519,-0.0017447378705823236,0.002,-0.003744737870582324,DOWN,1.3088599721645504,-0.01650765054966985
rejected_htf_4h,4,4,ADA,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,19,0.20879,0.20976,0.0046458163705158225,0.002,0.0026458163705158225,UP,1.3123229753056163,-0.013905510391217124
rejected_htf_4h,4,9,NEAR,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,22,1.0241,1.0223,-0.0017576408553852396,0.002,-0.0037576408553852397,DOWN,1.3073917368781471,-0.017610899332641372
rejected_htf_4h,4,10,PEPE,2026-03-31 21:00:00,2026-03-31 21:00:00,2026-04-01 01:00:00,REJECTED_HTF,AVOID,0.0,23,2.9369e-06,2.9274e-06,-0.0032347032585379404,0.002,-0.0052347032585379405,DOWN,1.3005479290929256,-0.0227534147590569
