policy_name,asset_id,symbol,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,equity_curve,drawdown
rejected_htf_1h,15,WAL,2026-03-30 21:00:00,2026-03-30 22:00:00,REJECTED_HTF,AVOID,0.0,24,0.060801,0.060499,-0.004967023568691364,0.002,-0.006967023568691364,0.973965787740317,-0.04588945484358575
rejected_htf_1h,31,HNT,2026-03-30 21:00:00,2026-03-30 22:00:00,REJECTED_HTF,AVOID,0.0,33,0.9372,0.94102,0.004075970977379358,0.002,0.002075970977379358,0.9759877124486264,-0.043908749042629314
rejected_htf_1h,35,MOG,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.112152,3,1.246e-07,1.24e-07,-0.0048154093097912696,0.002,-0.00681540930979127,0.969335956706962,-0.050424902255414294
rejected_htf_1h,14,VET,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.103665,8,0.005857,0.0058239,-0.005651357350179327,0.002,-0.007651357350179327,0.9619192209098192,-0.05769044065908946
rejected_htf_1h,26,WLD,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.080592,9,0.23889,0.23702,-0.007827870568043798,0.002,-0.009827870568043798,0.952465603309804,-0.06695133704332235
rejected_htf_1h,20,FLOKI,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.027772,10,2.4115e-05,2.4043e-05,-0.002985693551731231,0.002,-0.004985693551731231,0.9477169016931365,-0.07160323174567684
rejected_htf_1h,7,HBAR,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.017647,11,0.076486,0.076066,-0.005491201004105375,0.002,-0.007491201004105375,0.9406173638875652,-0.07855803854823185
rejected_htf_1h,6,FIL,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,12,0.71655,0.71138,-0.007215128044100213,0.002,-0.009215128044100213,0.9319494544388374,-0.08704924420821669
rejected_htf_1h,13,SUI,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.008959,12,0.7557,0.75261,-0.00408892417626047,0.002,-0.00608892417626047,0.9262748848746519,-0.09260813213689256
rejected_htf_1h,1,BTC,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,13,58229.0,58244.0,0.0002576035995809648,0.002,-0.0017423964004190352,0.9246609468494478,-0.09418916846122682
rejected_htf_1h,2,ETH,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,14,1773.21,1766.59,-0.003733342356517343,0.002,-0.005733342356517343,0.9193595490774584,-0.09938249206868022
rejected_htf_1h,3,SOL,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,15,72.239,71.98,-0.003585320948518118,0.002,-0.005585320948518118,0.9142246309287759,-0.10441272990233119
rejected_htf_1h,4,ADA,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,16,0.21314,0.2123,-0.003941071596134031,0.002,-0.005941071596134031,0.9087931569414789,-0.10973347799456767
rejected_htf_1h,9,NEAR,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,20,1.0168,1.013,-0.003737214791502779,0.002,-0.005737214791502779,0.9035792153990577,-0.11484112825299697
rejected_htf_1h,10,PEPE,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,21,2.9089e-06,2.8958e-06,-0.004503420536972714,0.002,-0.006503420536972714,0.8977028597728498,-0.12059768863800002
rejected_htf_1h,11,POL,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,22,0.080077,0.079738,-0.0042334253281215845,0.002,-0.0062334253281215845,0.8921070960296146,-0.12607937727925256
rejected_htf_1h,12,QNT,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,23,60.917,61.039,0.002002725019288538,0.002,2.7250192885380775e-06,0.8921095270386586,-0.12607699582869902
rejected_htf_1h,16,XLM,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,25,0.14732,0.14626,-0.0071952212869943345,0.002,-0.009195221286994334,0.8839063825253023,-0.13411291123984903
rejected_htf_1h,17,AAVE,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,26,84.55,84.44,-0.0013010053222944937,0.002,-0.0033010053222944937,0.8809886028521762,-0.13697120912835237
rejected_htf_1h,24,ONDO,2026-03-30 22:00:00,2026-03-30 23:00:00,REJECTED_HTF,AVOID,0.0,27,0.23043,0.22828,-0.009330382328689777,0.002,-0.011330382328689777,0.8710066651546428,-0.14674965528959505
